"AN AGE OF BARNS","1","SLOANE","ARCHITECTURE","","","",""
"BARNS OF ROOTS AMERICA","1.1","BABCOCK","ARCHITECTURE","TIMBERFRAMING","","",""
"THE BARNS AT WOLFTRAP","1.2","BABCOCK","ARCHITECTURE","TIMBERFRAMING","","",""
"OLD BARNS IN THE NEW WORLD","1.3","BABCOCK","ARCHITECTURE","TIMBERFRAMING","","",""
"THE NEW WORLD DUTCH BARN","1.4","FITCHEN","ARCHITECTURE","TIMBERFRAMING","","",""
"BARN","1.5","ENDERSBY, ET. AL.","ARCHITECTURE","TIMBERFRAMING","","",""
"BARNS OF THE GENESEE COUNTRY","1.51","FINK","ARCHITECTURE ","TIMBERFRAMING","","",""
"THE PENNSYLVANIA BARN","1.52","ENSMINGER","ARCHITECTURE","TIMBER FRAMING","","",""
"THE HEART OF THE FARM","1.53","ABBOTT","ARCHITECTURE","TIMBER FRAMING","","",""
"THE BARN","1.6","ARTHUR, WITNEY","ARCHITECTURE","TIMBERFRAMING","","",""
"THE OLD BARN BOOK","1.61","SOMMER","ARCHITECTURE","","","",""
"BARNS","1.62","HOWE","ARCHITECTURE","","","",""
"THE OLD BARN BOOK","1.63","NOBLE, CLEEK","ARCHITECTURE","","","",""
"SILENT SPACES","1.7","KIRK","ARCHITECTURE","TIMBERFRAMING","","",""
"OLD FARM BUILDINGS","1.71","HARVEY","ARCHITECTURE","AGRICULTURE","","",""
"FIELD GUIDE TO NEW ENGLAND BARNS AND FARM BUILDINGS","1.8","VISSER","ARCHITECTURE","","","",""
"BIG HOUSE LITTLE HOUSE. BACK HOUSE, BARN","1.9","HUBKA","ARCHITECTURE","","","",""
"DIARY OF AN EARLY AMERICAN BOY","2","SLOANE","ARCHITECTURE","","","",""
"RECOLLECTIONS IN BLACK AND WHITE","3","SLOANE","ARCHITECTURE","","","",""
"I REMEMBER AMERICA","3.1","SLOANE","ARCHITECTURE","","","",""
"PRACTICAL PLANS FOR BARNS, CARRIAGE HOUSES, STABLES, AND OTHER BUILDINGS","4","BRADFORD / LOVELESS / LOVELESS","DESIGN","PLANS","","",""
"SMALL BARN PLANS","4.1","WALLIN","DESIGN","PLANS","","",""
"CRAFTSMAN HOMES","5","STICKLEY","ARCHITECTURE","PLANS","","",""
"COUNTRY AND SUBURBAN HOMES OF THE PRAIRIE SCHOOL PERIOD","5.1","vON HOLST","ARCHITECTURE","DESIGN","PLANS","",""
"MORE CRAFTSMAN HOMES","5.2","STICKLEY","ARCHITECTURE","PLANS","","",""
"VICTORIAN HOUSES","6","GILLON","ARCHITECTURE","","","",""
"THE ARCHITECTURE OF COUNTRY HOUSES","6.1","DOWNING","ARCHITECTURE","","","",""
"PERSIAN ARCHITECTURE","7","POPE","ARCHITECTURE","","","",""
"DWELLING","8","RIVER","OWNER-BUILDING","","","",""
"GAUDI,HIS LIFE & WORK","9","MARTINELLI","ARCHITECTURE","","","",""
"SHELTER / SIGN / & SYMBOL","10","OLIVER","ARCHITECTURE","","","",""
"THE SEARCH FOR FORM IN ART AND ARCHITECTURE","10.1","SAARINEN","ARCHITECTURE","","","",""
"SOLERI: ARCHITECTURE AS HUMAN ECOLOGY","10.2","LIMA","ARCHITECTURE","","","",""
"ISE / PROTOTYPE OF JAPANESE ARCHITECTURE","11","TANGE / KAWAZOE","ARCHITECTURE","","","",""
"JAPANESE FOLKHOUSES","11.1","CARVER","ARCHITECTURE","","","",""
"JAPANESE HOMES AND THEIR SURROUNDINGS","11.2","MORSE","ARCHITECTURE","","","",""
"JAPANESE COUNTRY STYLE","11.3","TAKISHITA","ARCHITECTURE","","","",""
"WHAT IS JAPANESE ARCHITECTURE?","11.4","NISHI/HOZUMI","ARCHITECTURE","TIMBER FRAMING","","",""
"INTRODUCTION TO JAPANESE ARCHITECTURE","11.5","YOUNG","ARCHITECTURE","","","",""
"REPORT ON HISTORIC BARNS AND TIMBER FRAMING- ULSTER COUNTY NY","11.53","SINCLAIR.SAHLER","ARCHITECTURE","TIMBERFRAMING","","",""
"BUILDING THE JAPANESE HOUSE TODAY","11.6","RAO, BRACKETT","ARCHITECTURE","TIMBERFRAMING","","",""
"CHINESE ARCHITECTURE","11.7","SSU-CHENG","ARCHITECTURE","","","",""
"STAVE CHURCHES OF NORWAY","12","STEINER PRESS","TIMBERFRAMING","","","",""
"NORWEGIAN WOOD","12.1","HOLAN","ARCHITECTURE","DETAILS","","",""
"THE CATHEDRALS OF ENGLAND","12.5","CLIFTON-TAYLOR","ARCHITECTURE","","","",""
"ILLUSTRATED HANDBOOK OF VERNACULAR ARCHITECTURE","13","BRUNSKILL","ARCHITECTURE","","","",""
"EARLY CONNECTICUT HOUSES","14","ISHAM / BROWN","ARCHITECTURE","","","",""
"EARLY DOMESTIC ARCHITECTURE IN CONNECTICUT","14.1","KELLY","ARCHITECTURE","","","",""
"SHAKER ARCHITECTURE","14.2","SCHIFFER","ARCHITECTURE","","","",""
"SHAKER BUILT","14.3","ROCHELEAU AND SPRIGG","ARCHITECTURE","","","",""
"THE BERKSHIRE COTTAGES","14.5","OWENS","ARCHITECTURE","","","",""
"OLD HOUSE MEASURED AND SCALED DETAIL DRAWINGS","14.6","RADFORD","ARCHITECTURE","DETAILS","","",""
"A SENSE OF PLACE","15","STEELE","ARCHITECTURE","","","",""
"THE FENG SHUI HANDBOOK","15.5","WALTERS","DESIGN","PHILOSOPHY","","",""
"THE HEART OF PLACE","15.6","BENDER","DESIGN","PHILOSOPHY","","",""
"THE PRODIGIOUS BUILDERS","16","RUDOFSKY","ARCHITECTURE","","","",""
"ARCHITECTURE WITHOUT ARCHITECTS","16.1","RUDOFSKY","ARCHITECTURE","OWNER-BUILDING","","",""
"WONDERFUL HOUSES AROUND THE WORLD","16.2","KOMATSU","ARCHITECTURE","","","",""
"HOW BUILDINGS LEARN","16.4","BRAND","ARCHITECTURE","","","",""
"LA MAISON DE PAYS","16.5","FONTAINE","ARCHITECTURE","","","",""
"GREENE & GREENE / ARCHITECTS IN THE RESIDENTIAL STYLE","17","CURRENT","ARCHITECTURE","","","",""
